令和６年,人口動態統計,,
上巻　死亡　第５．１９表　死因（死因簡単分類）別にみた都道府県（特別区－指定都市再掲）別死亡率（人口10万対）
注：１）「子宮の悪性新生物＜腫瘍＞」、「卵巣の悪性新生物＜腫瘍＞」及び「妊娠，分娩及び産じょく」の率については、女性人口10万対の死亡率である。
　　２）「前立腺の悪性新生物＜腫瘍＞」の率については、男性人口10万対の死亡率である。
　　３）実数については、e-Stat（確定数）の「死亡」の表番号 下巻 ４ を参照されたい。
,総数,01000　感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　　　　　　,01100　　腸管感染症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,01200　　結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,01201　　　呼吸器結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,01202　　　その他の結核　　　　　　　　　　　　　　　　　　　　　　　　　　　　,01300　　敗血症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,01400　　ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　,01401　　　Ｂ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,01402　　　Ｃ型ウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　　　,01403　　　その他のウイルス性肝炎　　　　　　　　　　　　　　　　　　　　　　　,01500　　ヒト免疫不全ウイルス［ＨＩＶ］病　　　　　　　　　　　　　　　　　　　,01600　　その他の感染症及び寄生虫症　　　　　　　　　　　　　　　　　　　　　　,02000　新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,02100　　悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　　　,02101　　　口唇，口腔及び咽頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,02102　　　食道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,02103　　　胃の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,02104　　　結腸の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,02105　　　直腸Ｓ状結腸移行部及び直腸の悪性新生物＜腫瘍＞　　　　　　　　　　　,02106　　　肝及び肝内胆管の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,02107　　　胆のう及びその他の胆道の悪性新生物＜腫瘍＞　　　　　　　　　　　　　,02108　　　膵の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　,02109　　　喉頭の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,02110　　　気管，気管支及び肺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　,02111　　　皮膚の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,02112　　　乳房の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,02113　　　子宮の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,02114　　　卵巣の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,02115　　　前立腺の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,02116　　　膀胱の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　,02117　　　中枢神経系の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　,02118　　　悪性リンパ腫　　　　　　　　　　　　　　　　　　　　　　　　　　　　,02119　　　白血病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,02120　　　その他のリンパ組織，造血組織及び関連組織の悪性新生物＜腫瘍＞　　　　,02121　　　その他の悪性新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　,02200　　その他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　　　　　　　　,02201　　　中枢神経系のその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　　　,02202　　　中枢神経系を除くその他の新生物＜腫瘍＞　　　　　　　　　　　　　　　,03000　血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　　　　　　,03100　　貧血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,03200　　その他の血液及び造血器の疾患並びに免疫機構の障害　　　　　　　　　　　,04000　内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　　　　　　,04100　　糖尿病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,04200　　その他の内分泌，栄養及び代謝疾患　　　　　　　　　　　　　　　　　　　,05000　精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　　　　　　,05100　　血管性及び詳細不明の認知症　　　　　　　　　　　　　　　　　　　　　　,05200　　その他の精神及び行動の障害　　　　　　　　　　　　　　　　　　　　　　,06000　神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,06100　　髄膜炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,06200　　脊髄性筋萎縮症及び関連症候群　　　　　　　　　　　　　　　　　　　　　,06300　　パーキンソン病　　　　　　　　　　　　　　　　　　　　　　　　　　　　,06400　　アルツハイマー病　　　　　　　　　　　　　　　　　　　　　　　　　　　,06500　　その他の神経系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,07000　眼及び付属器の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,08000　耳及び乳様突起の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,09000　循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09100　　高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09101　　　高血圧性心疾患及び心腎疾患　　　　　　　　　　　　　　　　　　　　　,09102　　　その他の高血圧性疾患　　　　　　　　　　　　　　　　　　　　　　　　,09200　　心疾患（高血圧性を除く）　　　　　　　　　　　　　　　　　　　　　　　,09201　　　慢性リウマチ性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,09202　　　急性心筋梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09203　　　その他の虚血性心疾患　　　　　　　　　　　　　　　　　　　　　　　　,09204　　　慢性非リウマチ性心内膜疾患　　　　　　　　　　　　　　　　　　　　　,09205　　　心筋症　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09206　　　不整脈及び伝導障害　　　　　　　　　　　　　　　　　　　　　　　　　,09207　　　心不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09208　　　その他の心疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,09300　　脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09301　　　くも膜下出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09302　　　脳内出血　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09303　　　脳梗塞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,09304　　　その他の脳血管疾患　　　　　　　　　　　　　　　　　　　　　　　　　,09400　　大動脈瘤及び解離　　　　　　　　　　　　　　　　　　　　　　　　　　　,09500　　その他の循環器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,10000　呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10100　　インフルエンザ　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10200　　肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10300　　急性気管支炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10400　　慢性閉塞性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,10500　　喘息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10600　　その他の呼吸器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,10601　　　誤嚥性肺炎　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10602　　　間質性肺疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10603　　　その他の呼吸器系の疾患（10601及び10602を除く）　　　　　　　　　　　,11000　消化器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,11100　　胃潰瘍及び十二指腸潰瘍　　　　　　　　　　　　　　　　　　　　　　　　,11200　　ヘルニア及び腸閉塞　　　　　　　　　　　　　　　　　　　　　　　　　　,11300　　肝疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,11301　　　肝硬変（アルコール性を除く）　　　　　　　　　　　　　　　　　　　　,11302　　　その他の肝疾患　　　　　　　　　　　　　　　　　　　　　　　　　　　,11400　　その他の消化器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　,12000　皮膚及び皮下組織の疾患　　　　　　　　　　　　　　　　　　　　　　　　　,13000　筋骨格系及び結合組織の疾患　　　　　　　　　　　　　　　　　　　　　　　,14000　腎尿路生殖器系の疾患　　　　　　　　　　　　　　　　　　　　　　　　　　,14100　　糸球体疾患及び腎尿細管間質性疾患　　　　　　　　　　　　　　　　　　　,14200　　腎不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,14201　　　急性腎不全　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,14202　　　慢性腎臓病　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,14203　　　詳細不明の腎不全　　　　　　　　　　　　　　　　　　　　　　　　　　,14300　　その他の腎尿路生殖器系の疾患　　　　　　　　　　　　　　　　　　　　　,15000　妊娠，分娩及び産じょく　　　　　　　　　　　　　　　　　　　　　　　　　,16000　周産期に発生した病態　　　　　　　　　　　　　　　　　　　　　　　　　　,16100　　妊娠期間及び胎児発育に関連する障害　　　　　　　　　　　　　　　　　　,16200　　出産外傷　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,16300　　周産期に特異的な呼吸障害及び心血管障害　　　　　　　　　　　　　　　　,16400　　周産期に特異的な感染症　　　　　　　　　　　　　　　　　　　　　　　　,16500　　胎児及び新生児の出血性障害及び血液障害　　　　　　　　　　　　　　　　,16600　　その他の周産期に発生した病態　　　　　　　　　　　　　　　　　　　　　,17000　先天奇形，変形及び染色体異常　　　　　　　　　　　　　　　　　　　　　　,17100　　神経系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　　,17200　　循環器系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　,17201　　　心臓の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　　,17202　　　その他の循環器系の先天奇形　　　　　　　　　　　　　　　　　　　　　,17300　　消化器系の先天奇形　　　　　　　　　　　　　　　　　　　　　　　　　　,17400　　その他の先天奇形及び変形　　　　　　　　　　　　　　　　　　　　　　　,17500　　染色体異常，他に分類されないもの　　　　　　　　　　　　　　　　　　　,18000　症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの　　　　　,18100　　老衰　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,18200　　乳幼児突然死症候群　　　　　　　　　　　　　　　　　　　　　　　　　　,18300　　その他の症状，徴候及び異常臨床所見・異常検査所見で他に分類されないもの,20000　傷病及び死亡の外因　　　　　　　　　　　　　　　　　　　　　　　　　　　,20100　　不慮の事故　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,20101　　　交通事故　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,20102　　　転倒・転落・墜落　　　　　　　　　　　　　　　　　　　　　　　　　　,20103　　　不慮の溺死及び溺水　　　　　　　　　　　　　　　　　　　　　　　　　,20104　　　不慮の窒息　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,20105　　　煙，火及び火炎への曝露　　　　　　　　　　　　　　　　　　　　　　　,20106　　　有害物質による不慮の中毒及び有害物質への曝露　　　　　　　　　　　　,20107　　　その他の不慮の事故　　　　　　　　　　　　　　　　　　　　　　　　　,20200　　自殺　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,20300　　他殺　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,20400　　その他の外因　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,22000　特殊目的用コード　　　　　　　　　　　　　　　　　　　　　　　　　　　　,22100　　重症急性呼吸器症候群［ＳＡＲＳ］　　　　　　　　　　　　　　　　　　　,22200　　その他の特殊目的用コード　　　　　　　　　　　　　　　　　　　　　　　,22201　　　新型コロナウイルス感染症　　　　　　　　　　　　　　　　　　　　　　,22202　　　新型コロナウイルス感染症ワクチン　　　　　　　　　　　　　　　　　　,22203　　　その他の特殊目的用コード（22201及び22202を除く）　　　　　　　　　　
全　国,1334.5,20.4,1.9,1.2,1.0,0.2,9.7,1.2,0.3,0.8,0.2,0.0,6.3,330.9,319.3,7.1,8.8,31.5,31.8,13.4,18.7,14.3,34.3,0.6,62.8,1.6,13.3,11.5,8.3,23.4,8.1,2.7,11.8,8.3,3.6,25.1,11.6,2.1,9.4,4.1,2.1,1.9,21.3,12.4,8.9,23.2,20.5,2.7,52.3,0.3,2.3,12.0,21.3,16.4,0.0,0.0,308.4,9.8,5.0,4.8,188.2,1.6,23.5,32.7,9.6,2.7,29.9,82.1,6.1,85.5,9.2,27.1,46.7,2.5,17.0,7.9,170.4,2.4,66.6,0.2,13.8,0.9,86.5,52.9,20.3,13.3,49.6,2.1,7.1,15.7,7.1,8.6,24.8,3.3,9.2,41.9,4.9,24.7,2.5,18.4,3.7,12.3,0.0,0.3,0.0,0.0,0.2,0.0,0.0,0.0,1.6,0.1,0.6,0.4,0.2,0.1,0.5,0.3,205.5,172.0,0.0,33.5,62.1,38.0,2.9,9.9,8.2,6.8,0.8,0.5,8.9,16.3,0.2,7.6,29.8,-,29.8,29.8,0.0,-
01 北海道,1539.5,26.5,2.4,1.0,0.9,0.1,15.3,1.4,0.4,0.7,0.3,0.0,6.3,424.2,408.8,8.4,10.3,36.8,41.7,18.3,22.3,17.4,46.9,0.7,92.8,1.9,17.2,12.3,9.2,27.3,11.3,2.9,13.2,8.7,3.9,29.9,15.3,2.6,12.7,5.6,2.6,3.0,21.9,14.3,7.7,32.2,28.1,4.1,64.1,0.3,2.8,12.4,28.0,20.6,-,-,370.6,10.6,6.8,3.8,212.9,1.6,22.5,29.2,12.6,3.0,31.5,104.1,8.4,99.0,12.2,29.3,54.4,3.1,21.4,26.7,180.2,2.8,79.1,0.4,15.8,0.9,81.2,42.2,24.5,14.5,60.8,2.1,9.3,17.7,7.8,9.9,31.6,2.9,10.2,59.3,5.8,37.7,4.6,27.6,5.6,15.8,-,0.3,0.0,-,0.2,-,0.1,0.0,1.9,0.0,0.9,0.4,0.5,0.1,0.5,0.3,172.8,155.4,0.2,17.3,69.5,41.2,2.6,11.1,9.2,8.5,1.1,1.0,7.7,18.5,0.3,9.5,36.5,-,36.5,36.5,-,-
02 青森県,1772.8,19.9,2.2,1.5,1.3,0.2,9.1,1.6,0.4,0.8,0.3,-,5.5,453.0,437.4,10.3,14.2,42.9,51.4,21.4,23.7,25.0,44.9,1.6,83.4,1.5,17.2,13.1,12.8,30.2,12.4,2.2,12.4,7.1,3.9,34.2,15.6,2.4,13.1,4.7,2.4,2.2,30.6,19.8,10.8,42.2,37.6,4.6,76.0,0.3,2.4,11.5,44.5,17.3,-,-,413.3,12.0,6.8,5.2,244.9,1.2,32.1,18.4,12.4,2.9,62.2,113.2,2.5,124.4,11.4,36.3,74.2,2.5,23.6,8.4,223.2,2.3,117.5,-,15.8,1.2,86.4,48.6,23.2,14.6,61.1,2.0,9.2,18.9,8.1,10.8,30.9,3.3,8.5,57.0,7.0,36.0,3.6,26.3,6.1,14.0,-,0.3,0.1,-,0.3,-,-,-,1.9,0.1,0.6,0.4,0.2,0.1,0.8,0.3,256.3,211.1,0.2,44.9,77.2,51.4,5.4,9.2,13.5,8.9,2.1,0.6,11.8,18.9,0.1,6.7,44.4,-,44.4,44.4,-,-
03 岩手県,1735.2,17.7,1.7,1.6,1.1,0.4,8.6,1.5,0.3,0.8,0.4,-,4.4,412.8,398.3,7.3,11.8,36.1,44.8,19.3,20.5,21.6,42.2,0.9,74.2,2.1,14.1,11.1,10.4,28.1,10.6,3.6,17.7,7.9,4.2,34.7,14.5,3.3,11.2,4.7,2.1,2.6,31.3,18.3,13.0,27.4,22.9,4.5,76.9,0.2,3.4,15.3,39.9,18.2,-,0.1,451.3,10.9,5.5,5.5,252.3,2.6,20.2,19.9,11.7,1.7,93.6,98.1,4.6,159.8,19.3,52.4,84.7,3.4,20.4,7.9,192.4,3.0,78.7,0.1,14.8,1.4,94.4,57.9,23.9,12.6,60.0,3.4,9.0,16.9,7.0,10.0,30.7,3.9,11.7,52.1,5.2,33.0,3.2,26.2,3.6,13.9,0.2,0.1,-,-,0.1,-,-,-,2.0,0.1,0.7,0.4,0.4,-,0.5,0.7,259.5,234.0,-,25.5,81.7,49.4,3.2,14.4,7.5,9.4,2.0,0.5,12.3,22.3,0.2,9.9,49.4,-,49.4,49.4,-,-
04 宮城県,1307.1,16.8,1.9,1.1,1.0,0.1,7.6,1.2,0.1,0.8,0.3,-,4.9,332.6,321.7,6.6,9.2,31.6,34.3,12.6,16.6,15.5,37.2,0.5,61.5,1.1,12.9,13.1,8.1,23.9,8.5,2.3,12.3,7.5,4.3,24.7,10.9,1.5,9.4,4.3,2.3,2.1,19.6,11.5,8.2,25.7,22.2,3.5,62.3,0.1,2.5,12.3,28.9,18.4,-,-,332.7,11.8,4.0,7.8,187.5,1.8,17.9,27.4,9.9,4.6,50.2,71.8,3.8,108.9,11.4,42.0,52.6,2.9,18.7,5.9,131.0,1.5,48.6,0.4,11.9,0.7,68.0,41.6,16.6,9.7,46.6,2.1,7.6,12.8,6.2,6.5,24.2,2.1,8.5,37.0,3.6,22.3,1.9,17.4,3.0,11.2,0.2,0.3,0.0,-,0.2,-,-,0.0,1.6,0.1,0.7,0.5,0.2,0.1,0.4,0.3,198.0,182.1,-,16.0,58.8,32.6,2.5,9.3,4.6,6.5,0.9,0.4,8.4,17.1,0.1,9.0,29.0,-,29.0,28.9,0.0,-
05 秋田県,1955.2,21.7,1.5,1.2,1.2,-,10.1,1.3,0.6,0.6,0.2,-,7.5,475.5,458.0,9.8,14.0,58.2,51.5,18.5,23.5,31.5,47.1,1.3,74.6,2.1,16.4,15.4,14.3,30.1,11.7,3.6,13.1,10.5,5.4,35.1,17.5,3.3,14.3,6.7,2.8,3.9,36.1,20.7,15.5,44.4,39.1,5.4,106.5,0.1,2.5,17.4,62.7,23.8,-,-,436.8,12.8,5.9,6.8,239.4,4.7,17.8,17.5,14.6,3.3,37.8,140.0,3.7,154.4,13.6,42.1,89.5,9.3,21.2,9.0,222.3,1.8,90.8,-,14.7,0.8,114.3,76.1,21.5,16.6,69.7,3.3,13.1,18.1,8.4,9.7,35.2,3.6,11.0,66.3,9.5,36.8,3.8,28.2,4.8,20.0,-,0.1,-,-,0.1,-,-,-,2.5,-,0.9,0.6,0.3,-,1.1,0.4,311.9,257.4,-,54.5,90.2,54.2,4.3,11.9,14.6,11.1,1.6,0.6,10.2,20.0,0.1,15.9,49.7,-,49.7,49.7,-,-
06 山形県,1685.4,16.8,1.1,0.7,0.5,0.2,7.7,1.2,0.2,0.9,0.1,0.1,6.0,394.0,380.3,6.6,10.5,49.2,34.6,15.4,19.6,23.8,40.8,0.4,72.5,1.8,12.0,14.4,9.1,33.9,8.6,3.1,11.8,8.0,4.2,29.1,13.7,2.4,11.3,3.9,1.8,2.1,23.1,10.5,12.6,36.6,32.2,4.4,81.9,0.4,4.1,13.1,46.7,17.7,-,-,398.9,8.1,4.4,3.7,242.3,1.9,45.4,37.2,12.2,4.3,33.5,102.5,5.4,117.6,11.1,30.1,74.8,1.6,23.0,8.0,189.6,1.6,74.8,0.2,16.3,0.6,96.1,58.2,22.7,15.2,63.7,2.8,11.8,16.3,6.9,9.4,32.9,3.4,8.5,57.6,6.4,37.0,2.6,29.8,4.6,14.3,-,0.4,-,-,0.2,-,0.1,0.1,2.3,0.1,0.7,0.4,0.3,-,0.8,0.7,301.3,281.1,-,20.2,67.7,38.6,2.5,9.4,9.2,7.8,0.5,0.8,8.4,15.6,0.2,13.4,35.7,-,35.7,35.7,-,-
07 福島県,1585.7,17.9,2.0,0.9,0.7,0.2,8.4,1.1,0.2,0.7,0.2,-,5.5,369.9,355.7,6.8,8.4,36.9,39.3,15.8,20.1,18.2,36.4,0.5,69.0,1.9,12.5,11.9,9.7,26.5,9.3,2.6,13.2,9.3,3.9,27.4,14.2,2.6,11.6,4.5,3.2,1.3,31.1,17.7,13.4,37.2,33.7,3.5,65.3,0.2,3.9,11.4,32.1,17.7,-,-,391.7,13.6,6.1,7.5,226.3,5.4,30.7,27.4,13.3,3.1,45.3,93.9,7.3,121.9,13.2,35.0,70.9,2.8,22.0,7.9,178.7,2.6,76.9,0.2,15.4,1.5,82.1,42.1,25.5,14.5,57.6,1.7,9.4,16.2,7.8,8.4,30.2,4.1,12.5,46.0,5.5,27.5,2.3,21.3,3.9,13.1,-,0.2,-,0.1,0.1,-,-,0.1,2.0,0.1,0.9,0.6,0.2,0.1,0.5,0.5,244.5,200.5,-,44.0,80.5,53.4,3.5,14.6,11.4,10.6,1.6,0.9,10.8,19.5,-,7.6,42.1,-,42.1,42.1,-,-
08 茨城県,1433.8,20.8,1.6,1.0,0.9,0.1,10.8,1.2,0.1,1.0,0.1,0.0,6.2,349.6,338.5,6.4,8.5,37.4,36.5,14.8,19.8,15.5,32.8,0.4,64.6,2.2,13.5,11.4,9.0,24.9,9.2,2.7,13.3,8.2,4.8,25.3,11.2,2.7,8.5,3.6,2.2,1.3,22.4,14.9,7.5,23.5,20.7,2.8,43.2,0.3,2.9,10.9,14.9,14.2,-,-,343.9,8.9,5.0,3.9,203.0,1.6,41.6,24.6,10.0,2.2,26.9,92.2,3.9,105.8,11.9,36.1,53.7,4.1,19.7,6.4,183.2,3.2,86.5,0.1,14.7,1.1,77.5,43.9,20.5,13.1,57.3,2.0,8.8,17.3,8.4,8.9,29.2,3.6,10.5,42.8,4.4,24.3,2.6,18.0,3.7,14.1,0.1,0.3,0.0,-,0.1,-,0.0,0.0,1.8,0.1,0.6,0.4,0.2,0.0,0.6,0.4,226.8,181.8,-,45.0,64.6,40.7,4.4,10.5,7.3,7.3,1.1,0.3,9.8,16.6,0.1,7.2,36.0,-,36.0,36.0,-,-
09 栃木県,1396.6,18.6,1.5,0.8,0.6,0.2,8.1,1.2,0.2,0.9,0.2,-,7.0,340.3,327.7,6.1,9.1,36.3,31.8,15.1,18.3,15.1,33.6,0.5,63.4,1.9,12.6,11.0,10.2,21.3,8.6,3.3,13.2,8.1,3.4,26.1,12.6,3.0,9.6,3.7,1.6,2.0,18.7,12.7,6.0,25.6,22.4,3.2,49.5,0.3,2.3,10.9,20.5,15.4,-,-,347.5,8.9,3.8,5.1,203.8,1.8,25.7,65.8,10.4,2.4,23.3,69.0,5.4,112.5,12.0,38.4,58.6,3.4,17.1,5.3,167.8,2.0,76.0,0.3,12.5,0.2,76.8,41.0,23.3,12.5,54.6,1.4,8.8,16.3,7.8,8.5,28.1,3.3,9.0,42.8,5.6,24.1,3.0,17.4,3.7,13.1,-,0.2,-,-,0.1,-,0.1,0.1,1.9,0.1,0.7,0.4,0.2,0.1,0.6,0.5,221.8,177.5,-,44.3,57.9,34.0,3.7,10.7,3.8,6.8,1.3,0.2,7.5,16.6,0.2,7.2,33.3,-,33.3,33.3,-,-
10 群馬県,1504.7,23.2,1.7,1.2,1.0,0.2,12.2,1.1,0.1,1.0,0.1,-,7.0,352.6,339.4,7.7,8.4,37.3,36.5,17.0,20.2,15.6,32.5,0.8,67.2,1.7,15.0,12.5,8.0,27.1,8.4,3.0,11.2,6.8,4.1,22.0,13.2,2.5,10.7,3.9,1.7,2.2,23.5,15.2,8.2,30.4,28.3,2.1,58.8,0.2,3.1,10.4,27.1,18.1,-,-,383.5,19.7,11.0,8.7,203.0,1.8,16.9,18.3,9.3,2.7,21.5,86.4,46.2,105.5,10.3,32.7,59.7,2.8,17.4,37.9,209.8,3.3,88.2,0.5,14.9,1.0,102.0,62.2,26.3,13.4,60.6,2.7,9.6,16.2,8.6,7.6,32.1,4.0,10.0,43.3,4.6,25.6,2.7,18.6,4.3,13.1,0.2,0.7,-,0.1,0.5,-,-,0.1,1.8,-,0.9,0.4,0.5,0.1,0.4,0.3,188.0,176.3,-,11.8,72.5,43.8,3.7,12.1,12.8,6.7,0.5,0.2,7.8,18.7,0.4,9.6,38.2,-,38.2,38.2,-,-
